source,question_id,insight_subject (auto-filled),insight_direction (auto-filled),raw_value_stem (auto-filled),descriptor_interest_id,raw_value_answer_option (auto-filled),mapped_to_insight_tag,insight_tag_suggestions
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Quiet,sec_1 - de_24 - de_24_31,,Reserved and introspective,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Calm,sec_1 - de_24 - de_24_32,,Reserved and introspective,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Logical,sec_1 - de_24 - de_24_33,,Logical and analytical,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Simple,sec_1 - de_24 - de_24_34,,All about comfort and simplicity,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - I think too much,sec_1 - de_24 - de_24_35,,Logical and analytical,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - I take action right away,sec_1 - de_24 - de_24_36,,Independent and bold,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Sincere,sec_1 - de_24 - de_24_37,,Organized and detail-oriented,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - I take good care of other people,sec_1 - de_24 - de_24_38,,Organized and detail-oriented,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Up for anything,sec_1 - de_24 - de_24_39,,Independent and bold,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Careful,sec_1 - de_24 - de_24_4,,Enjoys trying new things,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Sensitive,sec_1 - de_24 - de_24_40,,Reserved and introspective,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Strong-willed,sec_1 - de_24 - de_24_41,,Independent and bold,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Spontaneous,sec_1 - de_24 - de_24_42,,Independent and bold,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Talkative,sec_1 - de_24 - de_24_43,,Extroverted,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Always curious,sec_1 - de_24 - de_24_44,,Enjoys trying new things,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Life of the party,sec_1 - de_24 - de_24_45,,Extroverted,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Wallflower,sec_1 - de_24 - de_24_46,,Reserved and introspective,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Talking head,sec_1 - de_24 - de_24_47,,Extroverted,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Homebody,sec_1 - de_24 - de_24_48,,All about comfort and simplicity,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Order lover,sec_1 - de_24 - de_24_49,,Organized and detail-oriented,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Sentimental,sec_1 - de_24 - de_24_5,,Reserved and introspective,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Chaot,sec_1 - de_24 - de_24_50,,Independent and bold,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Rational,sec_1 - de_24 - de_24_6,,Logical and analytical,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Simple-minded,sec_1 - de_24 - de_24_7,,Logical and analytical,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Full of thoughts,sec_1 - de_24 - de_24_8,,Reserved and introspective,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Adventurous,sec_1 - de_24 - de_24_9,,Enjoys trying new things,
descriptor,,,WHO_I_AM,Lifestyle - Kids - I have kids and want more,sec_1 - de_25 - de_25_1,,Wants children,
descriptor,,,WHO_I_AM,Lifestyle - Kids - I have kids but don't want more,sec_1 - de_25 - de_25_2,,Happy with current number of children,
descriptor,,,WHO_I_AM,Lifestyle - Kids - I would like to have kids,sec_1 - de_25 - de_25_3,,Wants children,
descriptor,,,WHO_I_AM,Lifestyle - Kids - I don't want to have kids,sec_1 - de_25 - de_25_4,,Doesn't want a child yet,
descriptor,,,WHO_I_AM,Lifestyle - Coffee - Everyday,sec_1 - de_27 - de_27_1,,Coffee lover,
descriptor,,,WHO_I_AM,Lifestyle - Coffee - Occasionally,sec_1 - de_27 - de_27_2,,Coffee lover,
descriptor,,,WHO_I_AM,Lifestyle - Coffee - Only while studying/working,sec_1 - de_27 - de_27_3,,Pragmatic coffee drinker,
descriptor,,,WHO_I_AM,Lifestyle - Coffee - Only with others,sec_1 - de_27 - de_27_4,,Pragmatic coffee drinker,
descriptor,,,WHO_I_AM,Lifestyle - Coffee - Never,sec_1 - de_27 - de_27_5,,Doesn't drink coffee,
descriptor,,,WHO_I_AM,Lifestyle - Choice of Coffee - Black coffee,sec_1 - de_28 - de_28_1,,Coffee lover,
descriptor,,,WHO_I_AM,Lifestyle - Choice of Coffee - Latte/Cappuccino,sec_1 - de_28 - de_28_2,,Coffee lover,
descriptor,,,WHO_I_AM,Lifestyle - Choice of Coffee - Coffee with milk and brown sugar,sec_1 - de_28 - de_28_3,,Coffee lover,
descriptor,,,WHO_I_AM,Lifestyle - Choice of Coffee - I don't like coffee,sec_1 - de_28 - de_28_4,,Doesn't drink coffee,
descriptor,,,WHO_I_AM,Lifestyle - Pets - Dog,sec_1 - de_3 - de_3_1,,Dog lover,
descriptor,,,WHO_I_AM,Lifestyle - Pets - Small animal,sec_1 - de_3 - de_3_10,,Currently a pet owner,
descriptor,,,WHO_I_AM,Lifestyle - Pets - Other,sec_1 - de_3 - de_3_11,,Currently a pet owner,
descriptor,,,WHO_I_AM,Lifestyle - Pets - Turtle,sec_1 - de_3 - de_3_12,,Currently a pet owner,
descriptor,,,WHO_I_AM,Lifestyle - Pets - Hamster,sec_1 - de_3 - de_3_13,,Currently a pet owner,
descriptor,,,WHO_I_AM,Lifestyle - Pets - Rabbit,sec_1 - de_3 - de_3_14,,Currently a pet owner,
descriptor,,,WHO_I_AM,Lifestyle - Pets - Exotic pets,sec_1 - de_3 - de_3_15,,Currently a pet owner,
descriptor,,,WHO_I_AM,Lifestyle - Pets - Want a pet,sec_1 - de_3 - de_3_16,,Open to pet adoption,
descriptor,,,WHO_I_AM,Lifestyle - Pets - Allergic to pets,sec_1 - de_3 - de_3_17,,Not interested in pet adoption,
descriptor,,,WHO_I_AM,Lifestyle - Pets - Like pets but allergic,sec_1 - de_3 - de_3_18,,Not interested in pet adoption,
descriptor,,,WHO_I_AM,Lifestyle - Pets - Aquatic animals,sec_1 - de_3 - de_3_19,,Currently a pet owner,
descriptor,,,WHO_I_AM,Lifestyle - Pets - Cat,sec_1 - de_3 - de_3_2,,Cat lover,
descriptor,,,WHO_I_AM,Lifestyle - Pets - Reptile,sec_1 - de_3 - de_3_3,,Currently a pet owner,
descriptor,,,WHO_I_AM,Lifestyle - Pets - Amphibian,sec_1 - de_3 - de_3_4,,Currently a pet owner,
descriptor,,,WHO_I_AM,Lifestyle - Pets - Fish,sec_1 - de_3 - de_3_5,,Loves pet fish,
descriptor,,,WHO_I_AM,Lifestyle - Pets - Pet-free,sec_1 - de_3 - de_3_6,,Not interested in pet adoption,
descriptor,,,WHO_I_AM,Lifestyle - Pets - All the pets,sec_1 - de_3 - de_3_7,,Currently a pet owner,
descriptor,,,WHO_I_AM,Lifestyle - Pets - Bird,sec_1 - de_3 - de_3_8,,Bird lover,
descriptor,,,WHO_I_AM,Lifestyle - Pets - Don't have but love,sec_1 - de_3 - de_3_9,,Open to pet adoption,
descriptor,,,WHO_I_AM,Lifestyle - Cannabis - Never,sec_1 - de_36 - de_36_4,,Does not use drugs,
descriptor,,,WHO_I_AM,Lifestyle - Social Media - Influencer status,sec_1 - de_4 - de_4_1,,Active on social media,
descriptor,,,WHO_I_AM,Lifestyle - Social Media - Socially active,sec_1 - de_4 - de_4_2,,Active on social media,
descriptor,,,WHO_I_AM,Lifestyle - Social Media - Off the grid,sec_1 - de_4 - de_4_3,,Not active on social media,
descriptor,,,WHO_I_AM,Lifestyle - Social Media - Passive scroller,sec_1 - de_4 - de_4_4,,Not active on social media,
descriptor,,,WHO_I_AM,Lifestyle - Drink of Choice - Wine,sec_1 - de_6 - de_6_1,,Wine lover,
descriptor,,,WHO_I_AM,Lifestyle - Drink of Choice - Tea,sec_1 - de_6 - de_6_10,,Tea lover,
descriptor,,,WHO_I_AM,Lifestyle - Drink of Choice - Espresso martini,sec_1 - de_6 - de_6_11,,Espresso martini lover,
descriptor,,,WHO_I_AM,Lifestyle - Drink of Choice - Shots,sec_1 - de_6 - de_6_12,,Shots lover,
descriptor,,,WHO_I_AM,Lifestyle - Drink of Choice - Hard seltzer,sec_1 - de_6 - de_6_13,,Hard seltzer lover,
descriptor,,,WHO_I_AM,Lifestyle - Drink of Choice - Sake,sec_1 - de_6 - de_6_14,,Sake lover,
descriptor,,,WHO_I_AM,Lifestyle - Drink of Choice - Chai,sec_1 - de_6 - de_6_15,,Tea lover,
descriptor,,,WHO_I_AM,Lifestyle - Drink of Choice - Water,sec_1 - de_6 - de_6_16,,Water is supreme over other drinks,
descriptor,,,WHO_I_AM,Lifestyle - Drink of Choice - Caipirinha,sec_1 - de_6 - de_6_17,,Cocktail lover,
descriptor,,,WHO_I_AM,Lifestyle - Drink of Choice - Tequila,sec_1 - de_6 - de_6_18,,Tequila lover,
descriptor,,,WHO_I_AM,Lifestyle - Drink of Choice - Whiskey,sec_1 - de_6 - de_6_19,,Whiskey lover,
descriptor,,,WHO_I_AM,Lifestyle - Drink of Choice - Beer,sec_1 - de_6 - de_6_2,,Beer lover,
descriptor,,,WHO_I_AM,Lifestyle - Drink of Choice - Vodka,sec_1 - de_6 - de_6_20,,Vodka lover,
descriptor,,,WHO_I_AM,Lifestyle - Drink of Choice - Energy drink,sec_1 - de_6 - de_6_21,,Energy drink lover,
descriptor,,,WHO_I_AM,Lifestyle - Drink of Choice - Caipivodka,sec_1 - de_6 - de_6_22,,Cocktail lover,
descriptor,,,WHO_I_AM,Lifestyle - Drink of Choice - Bubble tea,sec_1 - de_6 - de_6_23,,Boba tea lover,
descriptor,,,WHO_I_AM,Lifestyle - Drink of Choice - Iced tea,sec_1 - de_6 - de_6_24,,Tea lover,
descriptor,,,WHO_I_AM,Lifestyle - Drink of Choice - Giving up alcohol,sec_1 - de_6 - de_6_25,,Non-drinker,
descriptor,,,WHO_I_AM,Lifestyle - Drink of Choice - Juice,sec_1 - de_6 - de_6_26,,Juice lover,
descriptor,,,WHO_I_AM,Lifestyle - Drink of Choice - Hand-shake beverage,sec_1 - de_6 - de_6_27,,Cocktail lover,
descriptor,,,WHO_I_AM,Lifestyle - Drink of Choice - Drinkers plus party goers,sec_1 - de_6 - de_6_28,,Frequent drinker,
descriptor,,,WHO_I_AM,Lifestyle - Drink of Choice - Cocktails,sec_1 - de_6 - de_6_3,,Cocktail lover,
descriptor,,,WHO_I_AM,Lifestyle - Drink of Choice - Straightedge,sec_1 - de_6 - de_6_4,,Non-drinker,
descriptor,,,WHO_I_AM,Lifestyle - Drink of Choice - Coffee,sec_1 - de_6 - de_6_5,,Coffee lover,
descriptor,,,WHO_I_AM,Lifestyle - Drink of Choice - Gin,sec_1 - de_6 - de_6_6,,Gin lover,
descriptor,,,WHO_I_AM,Lifestyle - Drink of Choice - All the drinks,sec_1 - de_6 - de_6_7,,Frequent drinker,
descriptor,,,WHO_I_AM,Lifestyle - Drink of Choice - Sober,sec_1 - de_6 - de_6_8,,Non-drinker,
descriptor,,,WHO_I_AM,Lifestyle - Drink of Choice - Mix drinks,sec_1 - de_6 - de_6_9,,Cocktail lover,
descriptor,,,WHO_I_AM,Lifestyle - Dietary Preference - Vegan,sec_1 - de_7 - de_7_1,,Follows a vegan diet,
descriptor,,,WHO_I_AM,Lifestyle - Dietary Preference - Halal,sec_1 - de_7 - de_7_10,,Follows a halal diet,
descriptor,,,WHO_I_AM,Lifestyle - Dietary Preference - Ketogenic,sec_1 - de_7 - de_7_11,,Follows a ketogenic diet,
descriptor,,,WHO_I_AM,Lifestyle - Dietary Preference - Other,sec_1 - de_7 - de_7_12,,No dietary restrictions,
descriptor,,,WHO_I_AM,Lifestyle - Dietary Preference - Vegetarian,sec_1 - de_7 - de_7_2,,Follows a vegetarian diet,
descriptor,,,WHO_I_AM,Lifestyle - Dietary Preference - Pescatarian,sec_1 - de_7 - de_7_3,,Follows a pescatarian diet,
descriptor,,,WHO_I_AM,Lifestyle - Dietary Preference - Flexitarian,sec_1 - de_7 - de_7_6,,Follows a flexitarian diet,
descriptor,,,WHO_I_AM,Lifestyle - Dietary Preference - Carnivore,sec_1 - de_7 - de_7_7,,Eats meat,
descriptor,,,WHO_I_AM,Lifestyle - Dietary Preference - Omnivore,sec_1 - de_7 - de_7_8,,No dietary restrictions,
descriptor,,,WHO_I_AM,Lifestyle - Dietary Preference - Kosher,sec_1 - de_7 - de_7_9,,Follows a kosher diet,
descriptor,,,WHO_I_AM,More About Me - Zodiac - Capricorn,sec_4 - de_1 - de_1_1,,Capricorn,
descriptor,,,WHO_I_AM,More About Me - Zodiac - Libra,sec_4 - de_1 - de_1_10,,Libra,
descriptor,,,WHO_I_AM,More About Me - Zodiac - Scorpio,sec_4 - de_1 - de_1_11,,Scorpio,
descriptor,,,WHO_I_AM,More About Me - Zodiac - Sagittarius,sec_4 - de_1 - de_1_12,,Sagittarius,
descriptor,,,WHO_I_AM,More About Me - Zodiac - Aquarius,sec_4 - de_1 - de_1_2,,Aquarius,
descriptor,,,WHO_I_AM,More About Me - Zodiac - Pisces,sec_4 - de_1 - de_1_3,,Pisces,
descriptor,,,WHO_I_AM,More About Me - Zodiac - Aries,sec_4 - de_1 - de_1_4,,Aries,
descriptor,,,WHO_I_AM,More About Me - Zodiac - Taurus,sec_4 - de_1 - de_1_5,,Taurus,
descriptor,,,WHO_I_AM,More About Me - Zodiac - Gemini,sec_4 - de_1 - de_1_6,,Gemini,
descriptor,,,WHO_I_AM,More About Me - Zodiac - Cancer,sec_4 - de_1 - de_1_7,,Cancer,
descriptor,,,WHO_I_AM,More About Me - Zodiac - Leo,sec_4 - de_1 - de_1_8,,Leo,
descriptor,,,WHO_I_AM,More About Me - Zodiac - Virgo,sec_4 - de_1 - de_1_9,,Virgo,
descriptor,,,WHO_I_AM,More About Me - MBTI - INTJ,sec_4 - de_13 - de_13_1,,INTJ,
descriptor,,,WHO_I_AM,More About Me - MBTI - ISFJ,sec_4 - de_13 - de_13_10,,ISFJ,
descriptor,,,WHO_I_AM,More About Me - MBTI - ESTJ,sec_4 - de_13 - de_13_11,,ESTJ,
descriptor,,,WHO_I_AM,More About Me - MBTI - ESFJ,sec_4 - de_13 - de_13_12,,ESFJ,
descriptor,,,WHO_I_AM,More About Me - MBTI - ISTP,sec_4 - de_13 - de_13_13,,ISTP,
descriptor,,,WHO_I_AM,More About Me - MBTI - ISFP,sec_4 - de_13 - de_13_14,,ISFP,
descriptor,,,WHO_I_AM,More About Me - MBTI - ESTP,sec_4 - de_13 - de_13_15,,ESTP,
descriptor,,,WHO_I_AM,More About Me - MBTI - ESFP,sec_4 - de_13 - de_13_16,,ESFP,
descriptor,,,WHO_I_AM,More About Me - MBTI - INTP,sec_4 - de_13 - de_13_2,,INTP,
descriptor,,,WHO_I_AM,More About Me - MBTI - ENTJ,sec_4 - de_13 - de_13_3,,ENTJ,
descriptor,,,WHO_I_AM,More About Me - MBTI - ENTP,sec_4 - de_13 - de_13_4,,ENTP,
descriptor,,,WHO_I_AM,More About Me - MBTI - INFJ,sec_4 - de_13 - de_13_5,,INFJ,
descriptor,,,WHO_I_AM,More About Me - MBTI - INFP,sec_4 - de_13 - de_13_6,,INFP,
descriptor,,,WHO_I_AM,More About Me - MBTI - ENFJ,sec_4 - de_13 - de_13_7,,ENFJ,
descriptor,,,WHO_I_AM,More About Me - MBTI - ENFP,sec_4 - de_13 - de_13_8,,ENFP,
descriptor,,,WHO_I_AM,More About Me - MBTI - ISTJ,sec_4 - de_13 - de_13_9,,ISTJ,
descriptor,,,WHO_I_AM,More About Me - Communication Style - Big time texter,sec_4 - de_2 - de_2_1,,Prefers texting,
descriptor,,,WHO_I_AM,More About Me - Communication Style - Video chatter,sec_4 - de_2 - de_2_2,,Prefers video calls,
descriptor,,,WHO_I_AM,More About Me - Communication Style - Phone caller,sec_4 - de_2 - de_2_3,,Prefers phone calls,
descriptor,,,WHO_I_AM,More About Me - Communication Style - Bad texter,sec_4 - de_2 - de_2_4,,Not a texter,
descriptor,,,WHO_I_AM,More About Me - Communication Style - Better in person,sec_4 - de_2 - de_2_5,,Values in-person communication,
descriptor,,,WHO_I_AM,More About Me - Communication Style - I stay on WhatsApp all day,sec_4 - de_2 - de_2_6,,Prefers texting,
descriptor,,,WHO_I_AM,More About Me - Communication Style - I'm slow to answer on WhatsApp,sec_4 - de_2 - de_2_7,,Not a texter,
descriptor,,,WHO_I_AM,More About Me - Family Plans - I want children,sec_4 - de_33 - de_33_1,,Wants children,
descriptor,,,WHO_I_AM,More About Me - Family Plans - I don't want children,sec_4 - de_33 - de_33_2,,Doesn't want a child yet,
descriptor,,,WHO_I_AM,More About Me - Family Plans - I have children and want more,sec_4 - de_33 - de_33_3,,Wants children,
descriptor,,,WHO_I_AM,More About Me - Family Plans - I have children and don't want more,sec_4 - de_33 - de_33_4,,Happy with current number of children,
descriptor,,,WHO_I_AM,More About Me - Family Plans - Not sure yet,sec_4 - de_33 - de_33_5,,Doesn't want a child yet,
descriptor,,,WHO_I_AM,More About Me - COVID Vaccine - Vaccinated,sec_4 - de_34 - de_34_1,,Vaccinated for covid,
descriptor,,,WHO_I_AM,More About Me - COVID Vaccine - Unvaccinated,sec_4 - de_34 - de_34_2,,Unvaccinated for covid,
descriptor,,,WHO_I_AM,More About Me - Love Style - Thoughtful gestures,sec_4 - de_35 - de_35_1,,Values helpful actions,
descriptor,,,WHO_I_AM,More About Me - Love Style - Presents,sec_4 - de_35 - de_35_2,,Cherishes thoughtful gifts,
descriptor,,,WHO_I_AM,More About Me - Love Style - Touch,sec_4 - de_35 - de_35_3,,Values physical affection,
descriptor,,,WHO_I_AM,More About Me - Love Style - Compliments,sec_4 - de_35 - de_35_4,,Appreciates verbal encouragement,
descriptor,,,WHO_I_AM,More About Me - Love Style - Time together,sec_4 - de_35 - de_35_5,,Prioritizes spending time together,
descriptor,,,WHO_I_AM,More About Me - Education - Bachelors,sec_4 - de_9 - de_9_1,,Bachelor's degree,
descriptor,,,WHO_I_AM,More About Me - Education - In College,sec_4 - de_9 - de_9_2,,In college,
descriptor,,,WHO_I_AM,More About Me - Education - High School,sec_4 - de_9 - de_9_3,,High school graduate,
descriptor,,,WHO_I_AM,More About Me - Education - PhD,sec_4 - de_9 - de_9_4,,PhD,
descriptor,,,WHO_I_AM,More About Me - Education - In Grad School,sec_4 - de_9 - de_9_5,,In grad school,
descriptor,,,WHO_I_AM,More About Me - Education - Masters,sec_4 - de_9 - de_9_6,,Master's,
descriptor,,,WHO_I_AM,More About Me - Education - Trade School,sec_4 - de_9 - de_9_7,,In trade school,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Afrikaans,sec_5 - de_37 - de_37_1,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Basque,sec_5 - de_37 - de_37_10,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Sepedi,sec_5 - de_37 - de_37_100,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Serbian,sec_5 - de_37 - de_37_101,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Sesotho,sec_5 - de_37 - de_37_102,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Shona,sec_5 - de_37 - de_37_103,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Sindhi,sec_5 - de_37 - de_37_104,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Sinhala,sec_5 - de_37 - de_37_105,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Slovak,sec_5 - de_37 - de_37_106,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Slovenian,sec_5 - de_37 - de_37_107,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Somali,sec_5 - de_37 - de_37_108,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Spanish,sec_5 - de_37 - de_37_109,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Belarusian,sec_5 - de_37 - de_37_11,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Sundanese,sec_5 - de_37 - de_37_110,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Swahili,sec_5 - de_37 - de_37_111,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Swedish,sec_5 - de_37 - de_37_112,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Tajik,sec_5 - de_37 - de_37_113,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Tamil,sec_5 - de_37 - de_37_114,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Tatar,sec_5 - de_37 - de_37_115,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Telugu,sec_5 - de_37 - de_37_116,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Thai,sec_5 - de_37 - de_37_117,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Tigrinya,sec_5 - de_37 - de_37_118,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Tsonga,sec_5 - de_37 - de_37_119,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Bengali,sec_5 - de_37 - de_37_12,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Turkish,sec_5 - de_37 - de_37_120,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Turkmen,sec_5 - de_37 - de_37_121,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Twi,sec_5 - de_37 - de_37_122,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Ukrainian,sec_5 - de_37 - de_37_123,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Urdu,sec_5 - de_37 - de_37_124,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Uyghur,sec_5 - de_37 - de_37_125,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Uzbek,sec_5 - de_37 - de_37_126,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Vietnamese,sec_5 - de_37 - de_37_127,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Welsh,sec_5 - de_37 - de_37_128,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Xhosa,sec_5 - de_37 - de_37_129,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Bhojpuri,sec_5 - de_37 - de_37_13,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Yiddish,sec_5 - de_37 - de_37_130,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Yoruba,sec_5 - de_37 - de_37_131,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Zulu,sec_5 - de_37 - de_37_132,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - ASL,sec_5 - de_37 - de_37_133,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Breton,sec_5 - de_37 - de_37_134,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Bosnian,sec_5 - de_37 - de_37_14,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Bulgarian,sec_5 - de_37 - de_37_15,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Burmese,sec_5 - de_37 - de_37_16,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Cantonese,sec_5 - de_37 - de_37_17,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Catalan,sec_5 - de_37 - de_37_18,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Cebuano,sec_5 - de_37 - de_37_19,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Albanian,sec_5 - de_37 - de_37_2,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Chichewa,sec_5 - de_37 - de_37_20,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Corsican,sec_5 - de_37 - de_37_21,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Croatian,sec_5 - de_37 - de_37_22,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Czech,sec_5 - de_37 - de_37_23,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Danish,sec_5 - de_37 - de_37_24,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Dhivehi,sec_5 - de_37 - de_37_25,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Dogri,sec_5 - de_37 - de_37_26,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Dutch,sec_5 - de_37 - de_37_27,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - English,sec_5 - de_37 - de_37_28,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Esperanto,sec_5 - de_37 - de_37_29,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Amharic,sec_5 - de_37 - de_37_3,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Estonian,sec_5 - de_37 - de_37_30,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Ewe,sec_5 - de_37 - de_37_31,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Filipino,sec_5 - de_37 - de_37_32,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Finnish,sec_5 - de_37 - de_37_33,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - French,sec_5 - de_37 - de_37_34,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Frisian,sec_5 - de_37 - de_37_35,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Galician,sec_5 - de_37 - de_37_36,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Georgian,sec_5 - de_37 - de_37_37,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - German,sec_5 - de_37 - de_37_38,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Greek,sec_5 - de_37 - de_37_39,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Arabic,sec_5 - de_37 - de_37_4,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Guarani,sec_5 - de_37 - de_37_40,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Gujarati,sec_5 - de_37 - de_37_41,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Haitian Creole,sec_5 - de_37 - de_37_42,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Hausa,sec_5 - de_37 - de_37_43,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Hawaiian,sec_5 - de_37 - de_37_44,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Hebrew,sec_5 - de_37 - de_37_45,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Hindi,sec_5 - de_37 - de_37_46,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Hmong,sec_5 - de_37 - de_37_47,,Multilingual,
descriptor,,,WHO_I_AM,Languages I Know - Languages - Hungarian,sec_5 - de_37 - de_37_48,,Multilingual,
